complaint_text,category,subcategory,department
I haven't received the displacement allowance mentioned in the Inter-State Migrant Workmen Act. I work at IronStrength Steel in the aviation industry. I have been working as a delivery personnel for 20 years. This is happening in our Raipur branch/office/factory.,Migrant Worker Issues,Inadequate housing,Ministry of Housing and Urban Affairs
My children cannot get admission to local schools due to documentation issues. I work at XYZ Technologies in the construction industry. This is happening in our Imphal branch/office/factory. Our interstate worker benefits are not being provided.,Migrant Worker Issues,Displacement allowance issues,Ministry of Labour and Employment - Inter-State Migrant Workers Division
I'm forced to work overtime without my consent or extra payment. I work at Pride Construction in the mining industry. I have been working as a software developer for 20 years. I am a contractual worker hoping for permanent employment. Workers who demand their rights are often terminated.,Labor Rights Violations,Identity document confiscation,Ministry of Labour and Employment - Industrial Relations Division
Co-workers have created offensive social media groups targeting me. I work at Rainbow Plastics in the retail industry. I have been working as a social media manager for 25 years. This is happening in our Thiruvananthapuram branch/office/factory. Witnesses are afraid to come forward due to fear of retaliation.,Workplace Harassment,Public humiliation,Ministry of Labour and Employment - Industrial Relations Division
False rumors about my character are being spread in the workplace. I work at Oceanic Marine Products in the IT industry. This is happening in our Imphal branch/office/factory.,Workplace Harassment,Unreasonable deadlines,Ministry of Labour and Employment - Industrial Relations Division
I've been waiting for my maternity benefit payment for 5 months. I work at Thunder Power Generation in the IT industry. I have been working as a regional sales manager for 2.5 years.,Social Security Concerns,Accident compensation issues,Employees State Insurance Corporation
The factory has poor ventilation with excessive dust and smoke. I work at Prairie Food Processing in the agriculture industry. I have been working as a network administrator for 1.5 years. This is happening in our Panaji branch/office/factory.,Unsafe Working Conditions,Noise pollution,State Pollution Control Board
My sick leave application was rejected despite having medical certificate. I work at Westland Automobiles in the media industry. I have been working as a procurement officer for 8 years. This is happening in our Ranchi branch/office/factory. I recently relocated to this city for this job.,Labor Rights Violations,No service benefits,Ministry of Labour and Employment - Industrial Relations Division
The lighting is so poor that it's causing eye strain and accidents. I work at IronStrength Steel in the media industry. I have been working as a welder for 15 years. This is happening in our Delhi branch/office/factory. I am a woman working in a male-dominated field.,Unsafe Working Conditions,Hazardous materials exposure,Directorate General of Factory Advice Service and Labour Institutes
The construction site lacks proper scaffolding and fall protection equipment. I work at SilverLine Railways in the insurance industry. Workers who report safety issues face retaliation.,Unsafe Working Conditions,Radiation exposure,Atomic Energy Regulatory Board
